School Year,System Id,System Name,School Id,School Name,Grade Configuration,Grade Cluster,Achievement Points,Progress Points,Achievement Gap Points,ETB Points,EL/ED/SWD Performance Points,Challenge Points,Marker_Type,CCRPI Score,address
2012,633,Cobb County,5058,Floyd Middle School,"06, 07, 08",M,54.5,9.8,9.8,1,4.3,5.3,measle_turquoise,79.4,"Floyd Middle School, 4803 Floyd Rd SW, Mableton, GA, 30126-1323"
2012,715,Polk County,104,Rockmart Middle School,"06, 07, 08",M,55.8,9.2,12,0.5,2,2.5,measle_turquoise,79.5,"Rockmart Middle School, 60 Knox Mountain Rd , Rockmart, GA, 30153-3710"
2012,629,Clarke County,1058,Clarke Middle School,"06, 07, 08",M,56.2,10.1,12,0,1.4,1.4,measle_turquoise,79.7,"Clarke Middle School, 1235 Baxter St, Athens, GA, 30606-3711"
2012,648,Douglas County,113,Mason Creek Middle School,"06, 07, 08",M,57.7,8.4,10.5,0.5,2.6,3.1,measle_turquoise,79.7,"Mason Creek Middle School, 7777 Mason Creek Road, Winston, GA, 30187"
2012,629,Clarke County,5058,Hilsman Middle School,"06, 07, 08",M,55.8,10.1,9.8,0,4.2,4.2,measle_turquoise,79.9,"Hilsman Middle School, 870 Gaines School Rd , Athens, GA, 30605-3132"
2012,629,Clarke County,196,Coile Middle School,"06, 07, 08",M,54.7,10.2,12,0,3.1,3.1,measle_turquoise,80,"Coile Middle School, 110 Old Elberton Rd , Athens, GA, 30601-3935"
2012,615,Bryan County,402,Bryan County Middle School,"06, 07, 08",M,55.8,8,10.5,0.5,5.3,5.8,measle_turquoise,80.1,"Bryan County Middle School, 600 Payne Dr, Pembroke, GA, 31321-5593"
2012,644,DeKalb County,605,Tucker Middle School,"06, 07, 08",M,55.9,9.7,12,0,2.5,2.5,measle_turquoise,80.1,"Tucker Middle School, 2160 Idlewood Rd, Tucker, GA, 30084-4815"
2012,608,Bartow County,301,Adairsville Middle School,"06, 07, 08",M,57,9.4,11.3,0.5,1.9,2.4,measle_turquoise,80.1,"Adairsville Middle School, 116 N Franklin St, Adairsville, GA, 30103-2834"
2012,633,Cobb County,1056,East Cobb Middle School,"06, 07, 08",M,56.2,10.3,12,0.5,1.8,2.3,measle_turquoise,80.8,"East Cobb Middle School, 380 Holt Rd NE , Marietta, GA, 30068-3564"
2012,667,Gwinnett County,1505,Louise Radloff Middle School,"06, 07, 08",M,52.6,10.8,11.3,0.5,5.7,6.2,measle_turquoise,80.9,"Louise Radloff Middle School, 3939 Shackleford Rd, Duluth, GA, 30096-8270"
2012,667,Gwinnett County,276,Sweetwater Middle School,"06, 07, 08",M,56.4,9.8,9.8,1.5,3.6,5.1,measle_turquoise,81.1,"Sweetwater Middle School, 3500 Cruse Rd , Lawrenceville, GA, 30044-3126"
2012,607,Barrow County,2052,Winder-Barrow Middle School,"06, 07, 08",M,58,9.3,9,0.5,4.8,5.3,measle_turquoise,81.6,"Winder-Barrow Middle School, 163 King St , Winder, GA, 30680-2366"
2012,633,Cobb County,475,Tapp Middle School,"06, 07, 08",M,57.3,10.6,9,0.5,4.3,4.8,measle_turquoise,81.7,"Tapp Middle School, 3900 Macedonia Rd , Powder Springs, GA, 30127-3626"
2012,633,Cobb County,294,Smitha Middle School,"06, 07, 08",M,54.6,10.4,13.5,0,3.4,3.4,measle_turquoise,81.9,"Smitha Middle School, 2025 Powder Springs Rd SW , Marietta, GA, 30064-4325"
2012,628,Cherokee County,287,Teasley Middle School,"07, 08",M,58,9.6,10.5,0.5,3.5,4,measle_turquoise,82.1,"Teasley Middle School, 8871 Knox Bridge Hwy, Canton, GA, 30114-5801"
2012,625,Chatham County,194,Georgetown School,"PK, KK, 01, 02, 03, 04, 05, 06, 07",M,53.8,9.4,12.8,1,5.2,6.2,measle_turquoise,82.2,"Georgetown School, 1516 King George Blvd , Savannah, GA, 31419-9075"
2012,707,Newton County,114,Liberty Middle School,"06, 07, 08",M,54.3,11.1,11.3,0.5,5,5.5,measle_turquoise,82.2,"Liberty Middle School, 5225 Salem Rd, Covington, GA, 30016-7912"
2012,608,Bartow County,195,Cass Middle School,"06, 07, 08",M,57,9.3,12,0.5,4,4.5,measle_turquoise,82.8,"Cass Middle School, 195 Fire Tower Rd NW , Cartersville, GA, 30120-4648"
2012,625,Chatham County,211,Godley Station School,"PK, KK, 01, 02, 03, 04, 05, 06, 07, 08",M,55,10.3,13.5,0.5,3.6,4.1,measle_turquoise,82.9,"Godley Station School, 2135 Benton Boulevard, Pooler, GA, 31322"
2012,628,Cherokee County,199,Holly Springs Elementary School,"PK, KK, 01, 02, 03, 04, 05, 06",M,56.6,9.2,12.8,0.5,3.8,4.3,measle_turquoise,82.9,"Holly Springs Elementary School, 1965 Hickory Rd, Canton, GA, 30115-4354"
2012,675,Henry County,215,Hampton Middle School,"06, 07, 08",M,58.3,9.6,10.5,0,4.5,4.5,measle_turquoise,82.9,"Hampton Middle School, 799 Hampton Locust Grove Rd, Hampton, GA, 30228-2422"
2012,622,Carroll County,101,Bowdon Middle School,"06, 07, 08",M,59.7,10.4,9.8,0.5,2.6,3.1,measle_turquoise,83,"Bowdon Middle School, 129 N Jonesville Rd , Bowdon, GA, 30108-2492"
